Date,ADA-USD,BCH-USD,BNB-USD,BTC-USD,DOGE-USD,EOS-USD,ETC-USD,ETH-USD,GAS-USD,LINK-USD,LTC-USD,REP-USD,TRX-USD,VET-USD,XLM-USD,XMR-USD,XRP-USD
2017-12-24,0.390029,2903.120117,5.28568,13925.799805,0.008582,8.14352,30.7833,694.14801,27.8165,0.544162,275.980011,69.524101,0.036209,,0.22445,337.059998,1.04395
2017-12-25,0.416363,2954.689941,6.56001,14026.599609,0.008931,9.77267,32.3526,765.833984,30.2404,0.501933,273.390015,71.347298,0.035177,,0.228511,360.782013,1.12232
2017-12-26,0.428465,3108.889893,9.02942,16099.799805,0.009411,9.81785,32.901901,773.835999,28.3815,0.521421,286.503998,86.2061,0.037832,,0.226018,381.542999,1.18949
2017-12-27,0.414176,2889.52002,10.107,15838.5,0.008872,10.5611,32.1353,762.84198,29.8535,0.505501,272.174011,80.542702,0.036831,,0.229224,421.848999,1.39964
2017-12-28,0.407701,2566.639893,9.32141,14606.5,0.008486,9.56614,29.526501,737.02301,26.848,0.506697,249.929993,74.240898,0.041974,,0.223544,378.903992,1.43088
2017-12-29,0.529299,2779.949951,8.8076,14656.200195,0.009391,9.44367,30.0345,753.59198,28.250299,0.486348,245.501999,76.5159,0.036348,,0.322941,377.365997,2.2146
2017-12-30,0.639243,2392.409912,7.84101,12952.200195,0.00786,8.56387,26.9158,717.257019,26.6367,0.586128,218.962997,65.831497,0.036413,,0.323202,330.803986,2.15902
2017-12-31,0.719695,2533.01001,8.63558,14156.400391,0.008972,8.76595,27.997999,756.732971,30.3356,0.601552,232.095993,70.072403,0.044752,,0.360756,349.026001,2.30057
2018-01-01,0.728657,2432.540039,8.41461,13657.200195,0.008909,8.84318,34.1679,772.640991,31.443199,0.733563,229.033005,74.476196,0.051695,,0.480008,358.98999,2.39103
2018-01-02,0.782587,2711.0,8.83777,14982.099609,0.009145,9.33471,34.917099,884.44397,32.714401,0.673712,255.684006,79.471703,0.078682,,0.564766,383.416992,2.4809
2018-01-03,1.07966,2608.689941,9.53588,15201.0,0.00932,10.2279,34.8634,962.719971,39.192699,0.681167,245.367996,77.466003,0.094703,,0.896227,412.062988,3.10537
